,player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
550,John Wall,PG,26,WAS,78,78,36.4,8.3,18.4,0.451,1.1,3.5,0.327,7.2,14.9,0.48,0.482,5.4,5.4,0.801,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1
551,Taurean Waller-Prince,SF,22,ATL,59,10,16.6,1.9,4.8,0.4,0.6,1.7,0.324,1.4,3.1,0.443,0.458,1.3,1.3,0.787,0.4,2.2,2.7,0.9,0.7,0.5,1.0,1.6,5.7
552,T.J. Warren,SF,23,PHO,66,59,31.0,6.1,12.3,0.495,0.4,1.5,0.265,5.7,10.8,0.527,0.511,1.8,1.8,0.773,1.9,3.2,5.1,1.1,1.2,0.6,0.9,2.7,14.4
553,C.J. Watson,PG,32,ORL,62,9,16.3,1.5,4.0,0.387,0.5,1.7,0.305,1.0,2.3,0.448,0.452,0.9,0.9,0.864,0.3,1.2,1.4,1.8,0.7,0.0,0.8,1.4,4.5
554,Briante Weber,PG,24,TOT,20,0,10.3,1.3,3.0,0.417,0.1,0.5,0.1,1.2,2.5,0.48,0.425,0.6,0.6,0.688,0.4,0.9,1.3,1.1,0.6,0.1,0.4,0.8,3.1
555,Briante Weber,PG,24,GSW,7,0,6.6,0.7,2.0,0.357,0.0,0.4,0.0,0.7,1.6,0.455,0.357,0.3,0.3,0.667,0.0,0.6,0.6,0.7,0.4,0.1,0.4,0.6,1.7
556,Briante Weber,PG,24,CHO,13,0,12.2,1.5,3.5,0.435,0.1,0.5,0.143,1.5,3.0,0.487,0.446,0.7,0.7,0.692,0.6,1.1,1.7,1.2,0.7,0.0,0.4,0.9,3.8
557,David West,C,36,GSW,68,0,12.6,2.0,3.7,0.536,0.0,0.1,0.375,1.9,3.6,0.541,0.542,0.6,0.6,0.768,0.7,2.3,3.0,2.2,0.6,0.7,1.1,1.5,4.6
558,Russell Westbrook,PG,28,OKC,81,81,34.6,10.2,24.0,0.425,2.5,7.2,0.343,7.7,16.8,0.459,0.476,8.8,8.8,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6
559,Okaro White,PF,24,MIA,35,0,13.5,0.9,2.5,0.379,0.3,1.0,0.353,0.6,1.5,0.396,0.448,0.6,0.6,0.909,0.7,1.6,2.3,0.6,0.3,0.3,0.5,1.5,2.8
560,Isaiah Whitehead,PG,21,BRK,73,26,22.5,2.8,7.0,0.402,0.6,2.0,0.295,2.2,4.9,0.446,0.445,1.2,1.2,0.805,0.4,2.1,2.5,2.6,0.6,0.5,1.9,2.4,7.4
561,Hassan Whiteside,C,27,MIA,77,77,32.6,7.0,12.6,0.557,0.0,0.0,0.0,7.0,12.6,0.557,0.557,2.9,2.9,0.628,3.8,10.3,14.1,0.7,0.7,2.1,2.0,2.9,17.0
562,Andrew Wiggins,SF,21,MIN,82,82,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5.0,5.0,0.76,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6
563,C.J. Wilcox,SG,26,ORL,22,0,4.9,0.4,1.4,0.258,0.1,0.7,0.2,0.2,0.7,0.313,0.306,0.1,0.1,1.0,0.2,0.4,0.5,0.5,0.1,0.0,0.3,0.4,1.0
564,Alan Williams,C,24,PHO,47,0,15.1,2.9,5.7,0.517,0.0,0.0,0.0,2.9,5.7,0.519,0.517,1.5,1.5,0.625,2.0,4.2,6.2,0.5,0.6,0.7,0.8,2.7,7.4
565,Deron Williams,PG,32,TOT,64,44,25.9,4.1,9.4,0.438,1.3,3.7,0.363,2.8,5.7,0.486,0.509,1.4,1.4,0.826,0.2,2.1,2.3,5.6,0.5,0.1,2.2,2.2,11.0
566,Deron Williams,PG,32,DAL,40,40,29.3,4.9,11.3,0.43,1.6,4.5,0.348,3.3,6.8,0.485,0.5,1.7,1.7,0.821,0.3,2.2,2.6,6.9,0.6,0.1,2.5,2.4,13.1
567,Deron Williams,PG,32,CLE,24,4,20.3,2.8,6.1,0.463,0.9,2.2,0.415,1.9,3.9,0.489,0.537,0.9,0.9,0.84,0.0,1.8,1.9,3.6,0.3,0.3,1.7,1.8,7.5
568,Derrick Williams,PF,25,TOT,50,11,16.1,2.2,4.9,0.443,0.6,1.9,0.309,1.6,2.9,0.531,0.504,1.2,1.2,0.652,0.4,2.2,2.6,0.6,0.3,0.1,0.6,1.2,6.1
569,Derrick Williams,PF,25,MIA,25,11,15.1,2.2,5.5,0.394,0.4,1.8,0.2,1.8,3.7,0.489,0.427,1.2,1.2,0.62,0.6,2.3,2.9,0.6,0.4,0.2,0.6,1.3,5.9
570,Derrick Williams,PF,25,CLE,25,0,17.1,2.2,4.3,0.505,0.8,2.1,0.404,1.3,2.2,0.6,0.603,1.1,1.1,0.692,0.1,2.2,2.3,0.6,0.2,0.1,0.6,1.1,6.2
571,Lou Williams,SG,30,TOT,81,1,24.6,5.3,12.3,0.429,2.0,5.5,0.365,3.3,6.8,0.48,0.511,5.0,5.0,0.88,0.3,2.2,2.5,3.0,1.0,0.2,2.0,1.1,17.5
572,Lou Williams,SG,30,LAL,58,1,24.2,5.6,12.7,0.444,2.1,5.5,0.385,3.5,7.2,0.489,0.527,5.2,5.2,0.884,0.2,2.0,2.3,3.2,1.1,0.2,2.1,1.2,18.6
573,Lou Williams,SG,30,HOU,23,0,25.7,4.4,11.5,0.386,1.8,5.6,0.318,2.7,5.9,0.452,0.464,4.3,4.3,0.867,0.5,2.5,3.0,2.4,0.7,0.4,1.7,1.1,14.9
574,Marvin Williams,PF,30,CHO,76,76,30.2,3.9,9.3,0.422,1.6,4.7,0.35,2.3,4.6,0.494,0.51,1.7,1.7,0.873,1.2,5.4,6.6,1.4,0.8,0.7,0.8,1.8,11.2
575,Reggie Williams,SF,30,NOP,6,0,13.2,1.3,3.8,0.348,0.8,1.8,0.455,0.5,2.0,0.25,0.457,1.0,1.0,0.857,0.3,0.7,1.0,0.7,0.5,0.0,0.0,0.3,4.5
576,Troy Williams,SF,22,TOT,30,16,18.6,2.4,5.6,0.437,0.6,2.1,0.29,1.8,3.5,0.524,0.491,0.7,0.7,0.656,0.5,1.8,2.3,0.8,0.9,0.3,1.1,2.0,6.2
577,Troy Williams,SF,22,MEM,24,13,17.4,2.1,5.1,0.415,0.4,1.7,0.244,1.7,3.4,0.5,0.455,0.6,0.6,0.6,0.3,1.6,1.9,0.8,1.0,0.4,1.1,1.8,5.3
578,Troy Williams,SF,22,HOU,6,3,23.2,3.7,7.3,0.5,1.3,3.5,0.381,2.3,3.8,0.609,0.591,1.0,1.0,0.857,1.5,2.5,4.0,1.0,0.5,0.2,1.0,3.0,9.7
579,Kyle Wiltjer,PF,24,HOU,14,0,3.1,0.3,1.0,0.286,0.3,0.9,0.308,0.0,0.1,0.0,0.429,0.1,0.1,0.5,0.3,0.4,0.7,0.1,0.2,0.1,0.4,0.3,0.9
580,Justise Winslow,SF,20,MIA,18,15,34.7,4.4,12.5,0.356,0.4,1.9,0.2,4.1,10.6,0.384,0.371,1.6,1.6,0.617,1.3,3.9,5.2,3.7,1.4,0.3,1.8,2.9,10.9
581,Jeff Withey,C,26,UTA,51,1,8.5,1.1,2.0,0.534,0.0,0.0,0.0,1.1,2.0,0.539,0.534,0.7,0.7,0.75,1.0,1.4,2.4,0.1,0.3,0.6,0.3,1.0,2.9
582,Christian Wood,PF,21,CHO,13,0,8.2,0.9,1.8,0.522,0.0,0.4,0.0,0.9,1.4,0.667,0.522,0.8,0.8,0.733,1.1,1.2,2.2,0.2,0.2,0.5,0.5,0.8,2.7
583,Metta World Peace,SF,37,LAL,25,2,6.4,0.8,2.7,0.279,0.4,1.5,0.237,0.4,1.2,0.333,0.346,0.4,0.4,0.625,0.2,0.6,0.8,0.4,0.4,0.1,0.3,0.7,2.3
584,Brandan Wright,PF,29,MEM,28,5,16.0,3.0,4.8,0.615,0.0,0.0,0.0,3.0,4.8,0.619,0.615,0.8,0.8,0.657,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8
585,Delon Wright,PG,24,TOR,27,0,16.5,1.8,4.3,0.422,0.4,1.1,0.333,1.4,3.2,0.453,0.466,1.6,1.6,0.764,0.6,1.2,1.8,2.1,1.0,0.4,0.9,1.1,5.6
586,James Young,SG,21,BOS,29,0,7.6,0.9,2.0,0.431,0.4,1.2,0.343,0.4,0.8,0.565,0.534,0.2,0.2,0.667,0.2,0.7,0.9,0.1,0.3,0.1,0.1,0.5,2.3
587,Joe Young,PG,24,IND,33,0,4.1,0.8,2.2,0.361,0.2,0.7,0.217,0.6,1.5,0.429,0.396,0.3,0.3,0.733,0.0,0.5,0.5,0.5,0.1,0.0,0.2,0.2,2.1
588,Nick Young,SG,31,LAL,60,60,25.9,4.5,10.6,0.43,2.8,7.0,0.404,1.7,3.5,0.481,0.564,1.3,1.3,0.856,0.4,1.9,2.3,1.0,0.6,0.2,0.6,2.3,13.2
589,Thaddeus Young,PF,28,IND,74,74,30.2,4.9,9.3,0.527,0.6,1.6,0.381,4.3,7.7,0.557,0.56,0.6,0.6,0.523,1.8,4.3,6.1,1.6,1.5,0.4,1.3,1.8,11.0
590,Cody Zeller,PF,24,CHO,62,58,27.8,4.1,7.1,0.571,0.0,0.0,0.0,4.1,7.1,0.572,0.571,2.1,2.1,0.679,2.2,4.4,6.5,1.6,1.0,0.9,1.0,3.0,10.3
591,Tyler Zeller,C,27,BOS,51,5,10.3,1.5,3.1,0.494,0.0,0.0,0.0,1.5,3.1,0.497,0.494,0.4,0.4,0.564,0.8,1.6,2.4,0.8,0.1,0.4,0.4,1.2,3.5
592,Stephen Zimmerman,C,20,ORL,19,0,5.7,0.5,1.6,0.323,0.0,0.0,0.0,0.5,1.6,0.323,0.323,0.2,0.2,0.6,0.6,1.3,1.8,0.2,0.1,0.3,0.2,0.9,1.2
593,Paul Zipser,SF,22,CHI,44,18,19.2,2.0,5.0,0.398,0.8,2.3,0.333,1.3,2.8,0.451,0.473,0.7,0.7,0.775,0.3,2.5,2.8,0.8,0.3,0.4,0.9,1.8,5.5
594,Ivica Zubac,C,19,LAL,38,11,16.0,3.3,6.3,0.529,0.0,0.1,0.0,3.3,6.2,0.536,0.529,0.8,0.8,0.653,1.1,3.1,4.2,0.8,0.4,0.9,0.8,1.7,7.5
