,player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
380,Donatas Motiejunas,PF,26,NOP,34,0,14.1,1.7,4.1,0.413,0.3,1.4,0.234,1.4,2.7,0.505,0.453,0.7,0.7,0.51,0.8,2.2,3.0,0.9,0.5,0.3,0.9,1.6,4.4
381,Timofey Mozgov,C,30,LAL,54,52,20.4,3.1,6.1,0.515,0.0,0.0,0.0,3.1,6.1,0.517,0.515,1.2,1.2,0.808,1.9,3.0,4.9,0.8,0.3,0.6,1.3,2.5,7.4
382,Emmanuel Mudiay,PG,20,DEN,55,41,25.6,3.8,10.0,0.377,1.0,3.2,0.315,2.8,6.8,0.408,0.428,2.4,2.4,0.784,0.5,2.7,3.2,3.9,0.7,0.2,2.2,1.7,11.0
383,Shabazz Muhammad,SF,24,MIN,78,1,19.4,3.7,7.7,0.482,0.6,1.9,0.338,3.1,5.8,0.528,0.523,1.9,1.9,0.774,1.1,1.7,2.8,0.4,0.3,0.1,0.7,1.1,9.9
384,Dejounte Murray,PG,20,SAS,38,8,8.5,1.3,3.1,0.431,0.2,0.6,0.391,1.1,2.4,0.441,0.47,0.6,0.6,0.7,0.2,0.9,1.1,1.3,0.2,0.2,1.0,0.8,3.4
385,Jamal Murray,SG,19,DEN,82,10,21.5,3.6,8.9,0.404,1.4,4.2,0.334,2.2,4.7,0.466,0.483,1.3,1.3,0.883,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9
386,Mike Muscala,C,25,ATL,70,3,17.7,2.4,4.8,0.504,0.7,1.6,0.418,1.8,3.2,0.546,0.573,0.7,0.7,0.766,1.1,2.3,3.4,1.4,0.4,0.6,0.8,1.4,6.2
387,Larry Nance,PF,24,LAL,63,7,22.9,3.0,5.7,0.526,0.2,0.6,0.278,2.9,5.2,0.554,0.54,0.9,0.9,0.738,1.9,4.0,5.9,1.5,1.3,0.6,0.9,2.4,7.1
388,Shabazz Napier,PG,25,POR,53,2,9.7,1.4,3.5,0.399,0.6,1.7,0.37,0.7,1.7,0.429,0.492,0.7,0.7,0.776,0.2,1.0,1.2,1.3,0.6,0.0,0.8,0.7,4.1
389,Maurice Ndour,PF,24,NYK,32,4,10.3,1.2,2.7,0.453,0.0,0.2,0.143,1.2,2.5,0.481,0.459,0.6,0.6,0.731,0.7,1.3,2.0,0.3,0.5,0.3,0.4,0.9,3.1
